ID,X,Y,Z
71156,0.585015,0.567648,6.32767
71154,1.03642,0.62734,3.39041
71153,1.03071,1.37566,4.70408
71152,1.1333,1.83364,5.94113
71151,1.09521,1.82255,5.97635
71150,0.840244,1.32854,4.79564
71149,0.834722,1.09717,4.92949
71148,0.991117,1.85127,5.97043
71147,0.777613,1.5518,5.35746
71146,0.750029,1.56292,5.37558
71144,0.764126,1.32733,5.50385
71143,0.698913,1.25683,5.76313
71142,0.699588,1.25632,5.76396
71141,0.800612,0.923917,4.98841
71140,1.48967,-0.0972366,1.96842
71139,0.78169,0.532472,5.17225
71138,0.669566,0.220756,6.20392
71137,0.713515,1.3961,6.02969
71136,0.916092,1.27342,4.40133
71135,0.713044,1.71801,5.95929
71134,0.713044,1.71801,5.95929
71133,0.663165,0.979504,6.19999
71132,0.653587,0.77053,6.2691
71131,0.647313,0.739198,6.27655
71130,0.662923,0.264226,6.45223
71129,0.702167,1.84286,5.93497
71128,0.714069,1.78473,5.95799
71127,0.678288,1.80304,5.94556
71126,0.672769,1.72068,5.96278
71125,0.672769,1.72068,5.96278
71124,0.667406,1.54033,6.01756
71123,0.630001,0.917763,6.21551
71122,0.642616,1.78691,5.94578
71121,0.630523,1.54077,6.01128
71120,0.625569,1.42146,6.05345
71119,0.607707,1.10163,6.15528
71118,0.635251,1.74339,5.98237
71117,0.63387,1.69058,5.98983
71116,0.631875,1.68243,5.99127
71115,0.961802,0.792644,3.97455
71114,0.962271,0.765004,3.98279
71113,0.93754,0.93984,4.47767
71111,0.866105,0.117437,4.7793
71110,0.871248,-0.230466,4.84022
71109,0.841664,1.309,4.78198
71108,0.818257,1.2006,4.82274
71107,1.44033,-0.458302,2.53451
71106,0.778922,1.52718,5.36894
71105,0.77609,1.45988,5.39019
71104,0.771233,1.41623,5.40031
71103,0.761027,1.40988,5.40356
71102,0.889242,1.05242,4.28451
71101,1.45945,0.318522,2.14534
71100,0.751751,0.885138,5.57656
71099,0.730223,0.763547,5.59445
71098,0.733396,0.808383,5.68521
71097,0.874919,1.69445,6.02576
71096,0.736527,1.34375,5.70619
71095,0.685981,0.271828,6.05283
71094,0.699083,0.763661,5.9233
71093,0.690887,0.478011,6.00688
71092,0.805975,1.0112,4.98964
71091,0.780274,0.577411,5.13645
71090,0.71139,1.38615,6.03809
71089,0.708406,1.64966,5.97705
71088,0.666312,1.03329,6.18416
71087,0.669562,0.600259,6.30172
71086,0.675852,0.585702,6.30246
71085,0.64981,0.264955,6.40388
71084,0.664488,1.16711,6.13928
71083,0.664488,1.16711,6.13928
